date,latitude,longitude
2008-05-26 08:16:00,39.9755,116.3312
2008-05-26 08:17:00,39.9755,116.3312
2008-05-26 12:50:00,39.9751,116.3341
2008-05-26 13:00:00,39.9915,116.3314
2008-05-26 13:01:00,39.9915,116.3320
2008-05-26 13:02:00,39.9914,116.3328
2008-05-26 13:03:00,39.9913,116.3331
2008-05-26 13:46:00,39.9918,116.3315
2008-05-26 13:47:00,39.9916,116.3318
2008-05-26 13:48:00,39.9892,116.3316
2008-05-26 13:49:00,39.9806,116.3326
2008-05-26 13:50:00,39.9752,116.3337
2008-05-26 13:51:00,39.9757,116.3334
2008-05-26 13:52:00,39.9754,116.3332
2008-05-26 13:53:00,39.9754,116.3325
2008-05-26 13:54:00,39.9756,116.3318
2008-05-26 13:55:00,39.9764,116.3318
2008-05-26 13:56:00,39.9771,116.3318
2008-05-26 13:57:00,39.9777,116.3320
2008-05-26 13:58:00,39.9780,116.3324
2008-05-27 00:43:00,39.9770,116.3320
2008-05-27 00:44:00,39.9769,116.3313
2008-05-27 00:45:00,39.9763,116.3312
2008-05-29 07:58:00,39.9754,116.3312
2008-05-29 07:59:00,39.9754,116.3312
2008-05-29 14:44:00,39.9912,116.3266
2008-05-29 14:45:00,39.9857,116.3268
2008-05-29 14:46:00,39.9858,116.3242
2008-05-29 14:47:00,39.9782,116.3233
2008-05-29 14:51:00,39.9812,116.3355
2008-05-29 14:52:00,39.9789,116.3336
2008-05-29 14:53:00,39.9780,116.3306
2008-05-29 14:54:00,39.9708,116.3375
2008-06-01 10:02:00,39.9494,116.3037
2008-06-01 10:04:00,39.9758,116.3309
2008-06-01 10:05:00,39.9757,116.3308
2008-06-01 10:06:00,39.9759,116.3312
2008-06-01 10:07:00,39.9760,116.3298
2008-06-01 10:08:00,39.9771,116.3276
2008-06-01 10:09:00,39.9841,116.3272
2008-06-01 10:10:00,39.9845,116.3272
2008-06-01 10:11:00,39.9870,116.3272
2008-06-01 10:12:00,39.9892,116.3270
2008-06-01 10:13:00,39.9912,116.3270
2008-06-01 10:14:00,39.9924,116.3277
2008-06-01 10:15:00,39.9923,116.3286
2008-06-01 10:16:00,39.9917,116.3297
2008-06-01 10:17:00,39.9916,116.3306
2008-06-01 10:18:00,39.9916,116.3306
2008-06-01 10:20:00,39.9916,116.3306
2008-06-01 10:21:00,39.9921,116.3308
2008-06-01 10:22:00,39.9928,116.3310
2008-06-01 10:23:00,39.9929,116.3303
2008-06-01 11:48:00,39.9928,116.3306
2008-06-01 11:49:00,39.9928,116.3306
2008-06-01 11:50:00,39.9925,116.3310
2008-06-01 11:51:00,39.9919,116.3309
2008-06-01 11:52:00,39.9922,116.3306
2008-06-01 11:53:00,39.9918,116.3306
2008-06-01 11:54:00,39.9918,116.3305
2008-06-01 11:55:00,39.9902,116.3309
2008-06-01 11:58:00,39.9914,116.3309
2008-06-01 11:59:00,39.9916,116.3308
2008-06-01 12:01:00,39.9916,116.3306
2008-06-01 12:02:00,39.9911,116.3307
2008-06-01 12:03:00,39.9906,116.3308
2008-06-01 12:04:00,39.9908,116.3306
2008-06-01 12:13:00,40.0601,116.3034
2008-06-01 12:14:00,40.0590,116.2979
2008-06-01 12:16:00,40.0639,116.3197
2008-06-01 12:17:00,40.0626,116.3201
2008-06-01 12:18:00,40.0577,116.3214
2008-06-01 12:20:00,40.0643,116.3233
2008-06-01 12:22:00,39.9776,116.3309
2008-06-01 12:23:00,39.9782,116.3314
2008-06-01 12:24:00,39.9787,116.3317
2008-06-01 12:25:00,39.9784,116.3319
2008-06-01 12:26:00,39.9788,116.3323
