date,latitude,longitude
2007-10-08 01:56:00,40.0137,116.4735
2007-10-08 01:57:00,40.0116,116.4798
2007-10-08 01:58:00,40.0006,116.4908
2007-10-08 01:59:00,39.9972,116.4926
2007-10-08 02:00:00,40.0041,116.4993
2007-10-08 02:01:00,40.0049,116.5003
2007-10-08 02:02:00,40.0080,116.5040
2007-10-08 02:03:00,40.0098,116.5058
2007-10-08 02:05:00,40.0177,116.5129
2007-10-08 02:06:00,40.0272,116.5192
2007-10-08 02:07:00,40.0335,116.5235
2007-10-08 02:08:00,40.0338,116.5233
2007-10-08 02:09:00,40.0316,116.5177
2007-10-08 02:10:00,40.0308,116.5143
2007-10-08 02:11:00,40.0306,116.5121
2007-10-08 02:13:00,40.0308,116.5143
2007-10-08 02:14:00,40.0314,116.5148
2007-10-08 02:15:00,40.0334,116.5202
2007-10-08 02:16:00,40.0297,116.5210
2007-10-08 02:17:00,40.0242,116.5173
2007-10-08 02:18:00,40.0205,116.5147
2007-10-08 02:19:00,40.0166,116.5140
2007-10-08 02:24:00,39.9734,116.4667
2007-10-08 02:26:00,39.9606,116.4775
2007-10-08 02:27:00,39.9517,116.4835
2007-10-08 02:33:00,39.8872,116.4835
2007-10-08 02:34:00,39.8832,116.4833
2007-10-08 02:35:00,39.8830,116.4813
2007-10-08 02:36:00,39.8832,116.4715
2007-10-08 02:38:00,39.8917,116.4714
2007-10-08 02:39:00,39.8919,116.4712
2007-10-08 02:40:00,39.8922,116.4673
2007-10-08 02:41:00,39.8931,116.4672
2007-10-08 02:42:00,39.8923,116.4665
2007-10-08 02:43:00,39.8918,116.4709
2007-10-08 02:44:00,39.8920,116.4716
2007-10-08 02:45:00,39.8918,116.4832
2007-10-08 02:46:00,39.8904,116.4833
2007-10-08 02:48:00,39.8902,116.4830
2007-10-08 02:49:00,39.8876,116.4823
2007-10-08 02:51:00,39.8875,116.4822
2007-10-08 03:07:00,39.8876,116.4822
2007-10-08 03:32:00,39.8876,116.4825
2007-10-08 03:33:00,39.8900,116.4827
2007-10-08 03:35:00,39.8831,116.4833
2007-10-08 03:37:00,39.8832,116.4715
2007-10-08 03:38:00,39.8915,116.4714
2007-10-08 03:40:00,39.8918,116.4713
2007-10-08 03:41:00,39.8926,116.4673
2007-10-08 03:42:00,39.8927,116.4673
2007-10-08 03:43:00,39.8932,116.4672
2007-10-08 03:44:00,39.8921,116.4658
2007-10-08 03:46:00,39.8923,116.4560
2007-10-08 03:48:00,39.9141,116.4557
2007-10-08 03:51:00,39.9436,116.4557
2007-10-08 03:52:00,39.9466,116.4559
2007-10-08 03:54:00,39.9478,116.4552
2007-10-08 03:55:00,39.9475,116.4526
2007-10-08 03:56:00,39.9492,116.4493
2007-10-08 03:57:00,39.9505,116.4505
2007-10-08 03:58:00,39.9526,116.4529
2007-10-08 03:59:00,39.9520,116.4544
2007-10-08 04:00:00,39.9485,116.4553
2007-10-08 04:01:00,39.9481,116.4565
2007-10-08 04:02:00,39.9501,116.4627
2007-10-08 04:05:00,39.9498,116.4630
2007-10-08 04:06:00,39.9502,116.4622
2007-10-08 04:07:00,39.9484,116.4567
2007-10-08 04:08:00,39.9480,116.4553
2007-10-08 04:09:00,39.9471,116.4495
2007-10-08 04:10:00,39.9473,116.4493
2007-10-08 04:11:00,39.9500,116.4499
2007-10-08 04:12:00,39.9516,116.4519
2007-10-08 04:13:00,39.9516,116.4515
2007-10-08 04:20:00,39.9515,116.4516
2007-10-08 04:21:00,39.9508,116.4508
2007-10-08 04:22:00,39.9507,116.4506
2007-10-08 04:23:00,39.9502,116.4501
2007-10-08 04:24:00,39.9501,116.4501
2007-10-08 04:25:00,39.9496,116.4494
2007-10-08 04:26:00,39.9525,116.4446
2007-10-08 04:33:00,40.0127,116.5109
2007-10-08 04:34:00,40.0164,116.5144
2007-10-08 04:35:00,40.0205,116.5149
2007-10-08 04:36:00,40.0230,116.5166
2007-10-08 04:37:00,40.0334,116.5236
2007-10-08 04:38:00,40.0336,116.5236
2007-10-08 04:39:00,40.0316,116.5177
2007-10-08 04:40:00,40.0308,116.5145
2007-10-08 04:43:00,40.0307,116.5143
2007-10-08 04:44:00,40.0316,116.5173
2007-10-08 04:45:00,40.0337,116.5233
2007-10-08 04:47:00,40.0247,116.5175
2007-10-08 04:48:00,40.0239,116.5170
2007-10-08 04:49:00,40.0132,116.5096
2007-10-08 04:50:00,40.0064,116.5020
2007-10-08 04:54:00,39.9885,116.4825
2007-10-08 04:56:00,39.9841,116.4776
2007-10-08 04:57:00,39.9793,116.4724
2007-10-08 04:58:00,39.9785,116.4715
2007-10-08 04:59:00,39.9730,116.4652
2007-10-08 05:00:00,39.9726,116.4598
2007-10-08 05:02:00,39.9845,116.4410
2007-10-08 05:03:00,39.9880,116.4301
2007-10-08 05:04:00,39.9878,116.4186
